u:, s:, b:, B:, a:, A:
49708239753, BTCUSDT, 59280.16000000, 0.02910000, 59280.17000000, 5.82658000
49708239754, BTCUSDT, 59280.16000000, 0.00010000, 59280.17000000, 5.82658000
49708239758, BTCUSDT, 59280.14000000, 0.00728000, 59280.17000000, 5.82658000
49708239759, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 0.30999000
49708239760, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 0.70999000
49708239761, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 0.83650000
49708239765, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 0.98767000
49708239769, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 1.58767000
49708239776, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.14179000
49708239790, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.29784000
49708239794, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.32684000
49708239795, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.35184000
49708239797, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.41766000
49708239798, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.43428000
49708239800, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.56808000
49708239803, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 3.58470000
49708239806, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.03380000
49708239807, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.38530000
49708239808, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.52166000
49708239817, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.60470000
49708239819, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.77077000
49708239838, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.61472000
49708239842, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.62104000
49708239851, BTCUSDT, 59280.14000000, 0.00728000, 59280.15000000, 4.62442000
49708239863, BTCUSDT, 59280.14000000, 0.00579000, 59280.15000000, 4.62442000
49708239864, BTCUSDT, 59280.14000000, 0.00430000, 59280.15000000, 4.62442000
49708239865, BTCUSDT, 59280.14000000, 0.00281000, 59280.15000000, 4.62442000
49708239866, BTCUSDT, 59280.14000000, 0.00132000, 59280.15000000, 4.62442000
49708239867, BTCUSDT, 59276.28000000, 0.00001000, 59280.15000000, 4.62442000
49708239868, BTCUSDT, 59276.28000000, 0.00001000, 59278.01000000, 0.47176000
